,text,inputs,prediction,prediction_agent,annotation,annotation_agent,vectors,multi_label,explanation,id,metadata,status,event_timestamp,metrics
0,"Fair Warning:

If you're LGBT and I see you adding that ""P"" to your alphabet soup I will DRAG your ass!","{'text': 'Fair Warning:\n\nIf you\'re LGBT and I see you adding that ""P"" to your alphabet soup I will DRAG your ass!'}",,,4 (hateful),argilla,,False,,4501,,Validated,2023-05-01 17:44:31.198862,{'text_length': 103}
1,Omega! (Intersex) Deku squirting all over alpha! Kacchan’s cock as he’s knotted.,{'text': 'Omega! (Intersex) Deku squirting all over alpha! Kacchan’s cock as he’s knotted.'},,,3 (neutral),argilla,,False,,4502,,Validated,2023-05-01 17:44:31.199004,{'text_length': 80}
2,"I am so proud to announce @StirvinoLady &amp; I, along w all the amazing contributors &amp; our incredible editors of DATES 2 Anthology @zhgilbert @CatParrts won a #PrismAward at #SDCC2018!

my lil #intersex heart can barely take it 💜😱😭🌈 #LGBTQIA #queercomics #representationmatters","{'text': 'I am so proud to announce @StirvinoLady &amp; I, along w all the amazing contributors &amp; our incredible editors of DATES 2 Anthology @zhgilbert @CatParrts won a #PrismAward at #SDCC2018!\n\nmy lil #intersex heart can barely take it 💜😱😭🌈 #LGBTQIA #queercomics #representationmatters'}",,,1 (extremely positive),argilla,,False,,4503,,Validated,2023-05-01 17:44:31.199146,{'text_length': 282}
3,Just watched episode 1 of Queer Eye and omg I'm crying 😪😪 the transformation in Tom and seeing him so happy,"{'text': ""Just watched episode 1 of Queer Eye and omg I'm crying 😪😪 the transformation in Tom and seeing him so happy""}",,,1 (extremely positive),argilla,,False,,4504,,Validated,2023-05-01 17:44:31.199219,{'text_length': 107}
4,Wishing to find a lesbian pillow fight on my bed when I get home.,{'text': 'Wishing to find a lesbian pillow fight on my bed when I get home.'},,,2 (positive),argilla,,False,,4505,,Validated,2023-05-01 17:44:31.199282,{'text_length': 65}
5,They should change the label of “bisexual” to “fun”,{'text': 'They should change the label of “bisexual” to “fun”'},,,2 (positive),argilla,,False,,4506,,Validated,2023-05-01 17:44:31.199374,{'text_length': 51}
6,"Today I listened to Camera Obscura's ""Swans,"" a song I listened to heavily when I knew I was trans but was scared to transition.","{'text': 'Today I listened to Camera Obscura\'s ""Swans,"" a song I listened to heavily when I knew I was trans but was scared to transition.'}",,,2 (positive),argilla,,False,,4507,,Validated,2023-05-01 17:44:31.199450,{'text_length': 128}
7,I hate when lezbo/gay artists make sexual references about the opposite sex in they’re music ????,{'text': 'I hate when lezbo/gay artists make sexual references about the opposite sex in they’re music ????'},,,3 (neutral),argilla,,False,,4508,,Validated,2023-05-01 17:44:31.199515,{'text_length': 97}
8,"The sweetest women does either be lesbians, got a child or just stupid af","{'text': 'The sweetest women does either be lesbians, got a child or just stupid af'}",,,3 (neutral),argilla,,False,,4509,,Validated,2023-05-01 17:44:31.199584,{'text_length': 73}
9,"[ON AIR] ""Women knows when they marry bisexual men"" - Caller #KayaFMTalk","{'text': '[ON AIR] ""Women knows when they marry bisexual men"" - Caller #KayaFMTalk'}",,,2 (positive),argilla,,False,,4510,,Validated,2023-05-01 17:44:31.199646,{'text_length': 72}
10,"Straight people are the 'push' doors
Gay people are the 'pull' doors
Bisexual people are the 'push and pull' doors
Pansexual people are the doors that swing in all directions 
Asexual people are walls","{'text': ""Straight people are the 'push' doors\nGay people are the 'pull' doors\nBisexual people are the 'push and pull' doors\nPansexual people are the doors that swing in all directions \nAsexual people are walls""}",,,3 (neutral),argilla,,False,,4511,,Validated,2023-05-01 17:44:31.199725,{'text_length': 200}
11,I've been just referred to as 'Lesbian Lee' haha that's a new one,"{'text': ""I've been just referred to as 'Lesbian Lee' haha that's a new one""}",,,2 (positive),argilla,,False,,4512,,Validated,2023-05-01 17:44:31.199785,{'text_length': 65}
12,knew Herrera would be involved the lesbian wanker,{'text': 'knew Herrera would be involved the lesbian wanker'},,,3 (neutral),argilla,,False,,4513,,Validated,2023-05-01 17:44:31.199843,{'text_length': 49}
13,"i know it happens a lot but i’m seeing people pin bad things on the lgbt+ community more and more these days. it’s like every time we as a community start to become more accepted, people start to trash it even more. especially with the pedophilia bullshit! i’m sick of it","{'text': 'i know it happens a lot but i’m seeing people pin bad things on the lgbt+ community more and more these days. it’s like every time we as a community start to become more accepted, people start to trash it even more. especially with the pedophilia bullshit! i’m sick of it'}",,,2 (positive),argilla,,False,,4514,,Validated,2023-05-01 17:44:31.199907,{'text_length': 271}
14,"how do ppl like #StarTrek &amp; also hate LGBT people or Muslims or gun control or people of color or whatever. like, either take the core message of tolerance and compassion to heart and adjust your attitude or get the hell out of my fandom. your shit is what humanity left behind.","{'text': 'how do ppl like #StarTrek &amp; also hate LGBT people or Muslims or gun control or people of color or whatever. like, either take the core message of tolerance and compassion to heart and adjust your attitude or get the hell out of my fandom. your shit is what humanity left behind.'}",,,2 (positive),argilla,,False,,4515,,Validated,2023-05-01 17:44:31.199966,{'text_length': 282}
15,guys is it gay to ruffle? You're disturbing 😔,"{'text': ""guys is it gay to ruffle? You're disturbing 😔""}",,,2 (positive),argilla,,False,,4516,,Validated,2023-05-01 17:44:31.200052,{'text_length': 45}
16,"It doesn't matter if ur straight, gay, bisexual, transgender, black, white....ill hate you all the same if ur a asshole","{'text': ""It doesn't matter if ur straight, gay, bisexual, transgender, black, white....ill hate you all the same if ur a asshole""}",,,1 (extremely positive),argilla,,False,,4517,,Validated,2023-05-01 17:44:31.200127,{'text_length': 119}
17,zac efron is bisexual there is a lord,{'text': 'zac efron is bisexual there is a lord'},,,2 (positive),argilla,,False,,4518,,Validated,2023-05-01 17:44:31.200188,{'text_length': 37}
18,"my family has been pretty supportive w the lgbt+ community lately,, do i come out","{'text': 'my family has been pretty supportive w the lgbt+ community lately,, do i come out'}",,,1 (extremely positive),argilla,,False,,4519,,Validated,2023-05-01 17:44:31.200249,{'text_length': 81}
19,"been thinking ab LGBTQ+ acronym. + implies ""not essential."" #LGBTQIA = 7 letters, same as phone #. not ""too many to remember"" #intersex","{'text': 'been thinking ab LGBTQ+ acronym. + implies ""not essential."" #LGBTQIA = 7 letters, same as phone #. not ""too many to remember"" #intersex'}",,,2 (positive),argilla,,False,,4520,,Validated,2023-05-01 17:44:31.200308,{'text_length': 135}
20,Fucking hate the gays,{'text': 'Fucking hate the gays'},,,5 (extremely hateful),argilla,,False,,4521,,Validated,2023-05-01 17:44:31.200388,{'text_length': 21}
21,"Best I can figure the heirarchy of lives mattering:
Black &gt; LGBTQ* &gt; Muslim &gt; Brown &gt; Fat White &gt; White with a Limp &gt; White
@SooperMexican",{'text': 'Best I can figure the heirarchy of lives mattering:\nBlack &gt; LGBTQ* &gt; Muslim &gt; Brown &gt; Fat White &gt; White with a Limp &gt; White\n@SooperMexican'},,,2 (positive),argilla,,False,,4522,,Validated,2023-05-01 17:44:31.200448,{'text_length': 156}
22,"Ted Cruz: ""Everyone in New York is a goddamn queer."" #GOPDebate","{'text': 'Ted Cruz: ""Everyone in New York is a goddamn queer."" #GOPDebate'}",,,2 (positive),argilla,,False,,4523,,Validated,2023-05-01 17:44:31.200506,{'text_length': 63}
23,"Them Girls Be Like = TGBL
Lesbian Gay Bisexual Transgender = LGBT
Camren is real.",{'text': 'Them Girls Be Like = TGBL\nLesbian Gay Bisexual Transgender = LGBT\nCamren is real.'},,,2 (positive),argilla,,False,,4524,,Validated,2023-05-01 17:44:31.200565,{'text_length': 81}
24,"""Can you be trans-zodiac sign. I was born a capricorn but I identify as a virgo"" @Michaelaof2015 ladies and gentlemen. 😂","{'text': '""Can you be trans-zodiac sign. I was born a capricorn but I identify as a virgo"" @Michaelaof2015 ladies and gentlemen. 😂'}",,,2 (positive),argilla,,False,,4525,,Validated,2023-05-01 17:44:31.200622,{'text_length': 120}
25,"all the gays are dying their hair natural red, I started officially started a trend","{'text': 'all the gays are dying their hair natural red, I started officially started a trend'}",,,2 (positive),argilla,,False,,4526,,Validated,2023-05-01 17:44:31.200680,{'text_length': 83}
26,".@mrkhtake2 i and many others are very grateful for your work clarifying and educating on intersex. i think you should be an advisor to @jeremycorbyn the unions and all polictical parties, as well as schools. #ThankYouSoMuch for yr work","{'text': '.@mrkhtake2 i and many others are very grateful for your work clarifying and educating on intersex. i think you should be an advisor to @jeremycorbyn the unions and all polictical parties, as well as schools. #ThankYouSoMuch for yr work'}",,,1 (extremely positive),argilla,,False,,4527,,Validated,2023-05-01 17:44:31.200737,{'text_length': 236}
27,"Hate it, people always judging me, I'm bisexual, get the fuck over it, it's not like we fancy every guy, nah, no so stfu","{'text': ""Hate it, people always judging me, I'm bisexual, get the fuck over it, it's not like we fancy every guy, nah, no so stfu""}",,,1 (extremely positive),argilla,,False,,4528,,Validated,2023-05-01 17:44:31.200794,{'text_length': 120}
28,follow @StillBisexual and @BiNetUSA this #FollowFriday #Bisexual #LGBT #USA,{'text': 'follow @StillBisexual and @BiNetUSA this #FollowFriday #Bisexual #LGBT #USA'},,,1 (extremely positive),argilla,,False,,4529,,Validated,2023-05-01 17:44:31.200851,{'text_length': 75}
29,why tf do i have to have the intersex condition named after some crusty old white dude and not one of the ones with dope fuckin names like chimerism,{'text': 'why tf do i have to have the intersex condition named after some crusty old white dude and not one of the ones with dope fuckin names like chimerism'},,,3 (neutral),argilla,,False,,4530,,Validated,2023-05-01 17:44:31.200911,{'text_length': 148}
30,Damn I’m horny as fuck this afternoon. Almost home and I’m going to bust 3-4 nuts 🥜 💦. Who wants to catch all this hot #cum? #cumtribute #cocktribute #cumslut #cumdumpster,{'text': 'Damn I’m horny as fuck this afternoon. Almost home and I’m going to bust 3-4 nuts 🥜 💦. Who wants to catch all this hot #cum? #cumtribute #cocktribute #cumslut #cumdumpster'},,,3 (neutral),argilla,,False,,4531,,Validated,2023-05-01 17:44:31.200984,{'text_length': 171}
31,"Can we just have a moratorium on cis people writing fiction with trans main/major characters for a couple years, please?","{'text': 'Can we just have a moratorium on cis people writing fiction with trans main/major characters for a couple years, please?'}",,,3 (neutral),argilla,,False,,4532,,Validated,2023-05-01 17:44:31.201112,{'text_length': 120}
32,At Trans-Siberian Orchestra andso far I've stopped morgan from walking into the guys restroom with a motorcycle guy and tripped up the steps,"{'text': ""At Trans-Siberian Orchestra andso far I've stopped morgan from walking into the guys restroom with a motorcycle guy and tripped up the steps""}",,,3 (neutral),argilla,,False,,4533,,Validated,2023-05-01 17:44:31.201183,{'text_length': 140}
33,Unanimous public support for workplace protections for gay &amp; transgender workers in #GreenvilleNC // no public opposition to policy update.,{'text': 'Unanimous public support for workplace protections for gay &amp; transgender workers in #GreenvilleNC // no public opposition to policy update.'},,,1 (extremely positive),argilla,,False,,4534,,Validated,2023-05-01 17:44:31.201243,{'text_length': 143}
34,my coworker &amp; her friend wanted to play cupid &amp; hook me up with this gay guy but it turns out that i know the guy 😂😩 such a small world ugh,{'text': 'my coworker &amp; her friend wanted to play cupid &amp; hook me up with this gay guy but it turns out that i know the guy 😂😩 such a small world ugh'},,,2 (positive),argilla,,False,,4535,,Validated,2023-05-01 17:44:31.201304,{'text_length': 147}
35,BISEXUAL Boyss ? naa BITCH Youu GAYY,{'text': 'BISEXUAL Boyss ? naa BITCH Youu GAYY'},,,3 (neutral),argilla,,False,,4536,,Validated,2023-05-01 17:44:31.201371,{'text_length': 36}
36,"there is so much to discuss/unpack surrounding the situation in Orlando but my heart goes out to queer folx everywhere, we can't be silenced","{'text': ""there is so much to discuss/unpack surrounding the situation in Orlando but my heart goes out to queer folx everywhere, we can't be silenced""}",,,1 (extremely positive),argilla,,False,,4537,,Validated,2023-05-01 17:44:31.201433,{'text_length': 140}
37,and I'M my favorite bisexual hoo ah,"{'text': ""and I'M my favorite bisexual hoo ah""}",,,2 (positive),argilla,,False,,4538,,Validated,2023-05-01 17:44:31.201493,{'text_length': 35}
38,It's disturbing how overwhelmingly white some #LGBT rights organizations are. We need people of all backgrounds to create real change.,"{'text': ""It's disturbing how overwhelmingly white some #LGBT rights organizations are. We need people of all backgrounds to create real change.""}",,,1 (extremely positive),argilla,,False,,4539,,Validated,2023-05-01 17:44:31.201551,{'text_length': 134}
39,Somewhere it's #FF! Love to #LGBTQ outlets @flurtmagazine @lesbiandotcom @TheRealCurve @afterellen supporting Season 1 and 2! #KandAholes,"{'text': ""Somewhere it's #FF! Love to #LGBTQ outlets @flurtmagazine @lesbiandotcom @TheRealCurve @afterellen supporting Season 1 and 2! #KandAholes""}",,,2 (positive),argilla,,False,,4540,,Validated,2023-05-01 17:44:31.201609,{'text_length': 137}
40,Sudden Realization: Gay people are literally fucking queers. as in having sex with queer people. literally fucking queers. that is all.,{'text': 'Sudden Realization: Gay people are literally fucking queers. as in having sex with queer people. literally fucking queers. that is all.'},,,2 (positive),argilla,,False,,4541,,Validated,2023-05-01 17:44:31.201689,{'text_length': 135}
41,How can people think that two guys kissing is disgusting but spreading mindless hate that has made LGBT people commit suicide isn't,"{'text': ""How can people think that two guys kissing is disgusting but spreading mindless hate that has made LGBT people commit suicide isn't""}",,,1 (extremely positive),argilla,,False,,4542,,Validated,2023-05-01 17:44:31.201750,{'text_length': 131}
42,"""Wasn't George Michael gay?"" -- the father-in-law 20 minutes after everyone has finally stopped talking about George Michael.","{'text': '""Wasn\'t George Michael gay?"" -- the father-in-law 20 minutes after everyone has finally stopped talking about George Michael.'}",,,2 (positive),argilla,,False,,4543,,Validated,2023-05-01 17:44:31.201808,{'text_length': 125}
