,text,inputs,prediction,prediction_agent,annotation,annotation_agent,vectors,multi_label,explanation,id,metadata,status,event_timestamp,metrics
0,"Raw from December 96. Lawler asks Goldust if he's ""queer""? Goldie says no forcefully and decks The King with a big right hand. Crowd erupts. Being straight was a huge asset in 1996 WWF I guess.","{'text': 'Raw from December 96. Lawler asks Goldust if he\'s ""queer""? Goldie says no forcefully and decks The King with a big right hand. Crowd erupts. Being straight was a huge asset in 1996 WWF I guess.'}",,,3 (neutral),admin,,False,,3501,,Validated,2023-07-24 08:43:18.073340,{'text_length': 193}
1,"Amazing season 2 of @QueerEye! 

1. @antoni really stepped up his game #morethanavocado

2. Felt weird that the convos abt religious diversity ignored Jews 

3. When will they do a queer woman??? #ladiesnight",{'text': 'Amazing season 2 of @QueerEye! \n\n1. @antoni really stepped up his game #morethanavocado\n\n2. Felt weird that the convos abt religious diversity ignored Jews \n\n3. When will they do a queer woman??? #ladiesnight'},,,2 (positive),admin,,False,,3502,,Validated,2023-07-24 08:43:18.073631,{'text_length': 208}
2,"My response was: I’m most certainly not anti-Trans. My agenda is much more complex. It saddens me that things have been reduced to ‘pro or anti’. Reminds me so much of the ‘stand-off’ in the 70s btw lesbian feminists and straight women feminists, where debate was often stifled.","{'text': 'My response was: I’m most certainly not anti-Trans. My agenda is much more complex. It saddens me that things have been reduced to ‘pro or anti’. Reminds me so much of the ‘stand-off’ in the 70s btw lesbian feminists and straight women feminists, where debate was often stifled.'}",,,3 (neutral),admin,,False,,3503,,Validated,2023-07-24 08:43:18.073773,{'text_length': 278}
3,I'm starting to think @krepick is a lesbian,"{'text': ""I'm starting to think @krepick is a lesbian""}",,,3 (neutral),admin,,False,,3504,,Validated,2023-07-24 08:43:18.073870,{'text_length': 43}
4,do kids still say gaylord or was that strictly a 00's thing,"{'text': ""do kids still say gaylord or was that strictly a 00's thing""}",,,3 (neutral),admin,,False,,3505,,Validated,2023-07-24 08:43:18.073980,{'text_length': 59}
5,"Should it matter if a person is gay, straight, bi, transgender, transvestite , black, white, fat, thin or disabledWhat matters is inside.","{'text': 'Should it matter if a person is gay, straight, bi, transgender, transvestite , black, white, fat, thin or disabled\rWhat matters is inside.'}",,,1 (extremely positive),admin,,False,,3506,,Validated,2023-07-24 08:43:18.074037,{'text_length': 138}
6,"transphobic christians: *transphobic comment about science and chromosomes*

science: that means jesus was intersex and/or trans

transphobic christians: wait no",{'text': 'transphobic christians: *transphobic comment about science and chromosomes*\n\nscience: that means jesus was intersex and/or trans\n\ntransphobic christians: wait no'},,,3 (neutral),admin,,False,,3507,,Validated,2023-07-24 08:43:18.074083,{'text_length': 161}
7,We are Derbyshire Friend. The #lesbian #gay #bisexual and #trans support and advocacy service in #Derby and #Derbyshire. #derbyhour #LGBT,{'text': 'We are Derbyshire Friend. The #lesbian #gay #bisexual and #trans support and advocacy service in #Derby and #Derbyshire. #derbyhour #LGBT'},,,2 (positive),admin,,False,,3508,,Validated,2023-07-24 08:43:18.074127,{'text_length': 137}
8,I miss third-wheeling with my asexual lesbian friends,{'text': 'I miss third-wheeling with my asexual lesbian friends'},,,3 (neutral),admin,,False,,3509,,Validated,2023-07-24 08:43:18.074171,{'text_length': 53}
9,lrt i couldnt sit thru all the archived footage but if you think its funny to threaten an LGBT person in a country with a deeply homophobic gov't to their country's authorities For The Lulz i hope you fucking rot,"{'text': ""lrt i couldnt sit thru all the archived footage but if you think its funny to threaten an LGBT person in a country with a deeply homophobic gov't to their country's authorities For The Lulz i hope you fucking rot""}",,,3 (neutral),admin,,False,,3510,,Validated,2023-07-24 08:43:18.074214,{'text_length': 212}
10,Everyone talking about 'big dick energy' lately and my asexual ass is hiding in a corner,"{'text': ""Everyone talking about 'big dick energy' lately and my asexual ass is hiding in a corner""}",,,3 (neutral),admin,,False,,3511,,Validated,2023-07-24 08:43:18.074308,{'text_length': 88}
11,"I'm a trans woman. I'm a lesbian. I'm queer. I'm two-spirit. Shocking, I know. #NationalComingOutDay","{'text': ""I'm a trans woman. I'm a lesbian. I'm queer. I'm two-spirit. Shocking, I know. #NationalComingOutDay""}",,,1 (extremely positive),admin,,False,,3512,,Validated,2023-07-24 08:43:18.074359,{'text_length': 100}
12,Courtney loges is a fucking queer 💁😂,{'text': 'Courtney loges is a fucking queer 💁😂'},,,3 (neutral),admin,,False,,3513,,Validated,2023-07-24 08:43:18.074404,{'text_length': 36}
13,"LRT?
BLT?
LGBTQ?
they should all be welcome in hamilton",{'text': 'LRT?\nBLT?\nLGBTQ?\nthey should all be welcome in hamilton'},,,3 (neutral),admin,,False,,3514,,Validated,2023-07-24 08:43:18.074446,{'text_length': 55}
14,Niggas be shemales on the low...,{'text': 'Niggas be shemales on the low...'},,,3 (neutral),admin,,False,,3515,,Validated,2023-07-24 08:43:18.074489,{'text_length': 32}
15,"If you believe that an ""injustice anywhere is a threat to justice everywhere"" stand with @SMUG2004 in the fight for #LGBT rights #MLK","{'text': 'If you believe that an ""injustice anywhere is a threat to justice everywhere"" stand with @SMUG2004 in the fight for #LGBT rights #MLK'}",,,1 (extremely positive),admin,,False,,3516,,Validated,2023-07-24 08:43:18.074530,{'text_length': 133}
16,"gay is so lit😛🏳️‍🌈
#NationalComingOutDay",{'text': 'gay is so lit😛🏳️\u200d🌈\n#NationalComingOutDay'},,,1 (extremely positive),admin,,False,,3517,,Validated,2023-07-24 08:43:18.074571,{'text_length': 40}
17,Let intersex people claim cis-non binary if they so choose.,{'text': 'Let intersex people claim cis-non binary if they so choose.'},,,2 (positive),admin,,False,,3518,,Validated,2023-07-24 08:43:18.074611,{'text_length': 59}
18,If you think you need to make fun of transgender individuals then honestly I just feel bad about how uneducated and pathetic you are 💁,{'text': 'If you think you need to make fun of transgender individuals then honestly I just feel bad about how uneducated and pathetic you are 💁'},,,2 (positive),admin,,False,,3519,,Validated,2023-07-24 08:43:18.074653,{'text_length': 134}
19,#MegynKelly You're beginning to look like a transexual yr haircut is so butch. Or  like a left-wing Dyke like Rosie. You DISGUST ME!,"{'text': ""#MegynKelly You're beginning to look like a transexual yr haircut is so butch. Or  like a left-wing Dyke like Rosie. You DISGUST ME!""}",,,3 (neutral),admin,,False,,3520,,Validated,2023-07-24 08:43:18.074699,{'text_length': 132}
20,are you telling me I've been called a batty boy  all my life and I'm now only just finding out what it means! it's true but wtf,"{'text': ""are you telling me I've been called a batty boy  all my life and I'm now only just finding out what it means! it's true but wtf""}",,,3 (neutral),admin,,False,,3521,,Validated,2023-07-24 08:43:18.075946,{'text_length': 127}
21,feeling very bisexual in this chili’s tonight,{'text': 'feeling very bisexual in this chili’s tonight'},,,3 (neutral),admin,,False,,3522,,Validated,2023-07-24 08:43:18.076070,{'text_length': 45}
22,I haven’t ever approached a straighter man on some ghey sh*t but some of these mens make me wanna shoot my shot 😂😂,{'text': 'I haven’t ever approached a straighter man on some ghey sh*t but some of these mens make me wanna shoot my shot 😂😂'},,,3 (neutral),admin,,False,,3523,,Validated,2023-07-24 08:43:18.076127,{'text_length': 114}
23,started playing honkai 3rd and all ican really say is   women! kiana and mei are ghey and himeko PLEASE call me,{'text': 'started playing honkai 3rd and all ican really say is   women! kiana and mei are ghey and himeko PLEASE call me'},,,3 (neutral),admin,,False,,3524,,Validated,2023-07-24 08:43:18.076175,{'text_length': 111}
24,I literally cant stress it enough that its super important to not make trans people feel excluded and unwanted!! Theyre just human beings!!,{'text': 'I literally cant stress it enough that its super important to not make trans people feel excluded and unwanted!! Theyre just human beings!!'},,,1 (extremely positive),admin,,False,,3525,,Validated,2023-07-24 08:43:18.076227,{'text_length': 139}
25,"All this tweeting about what it means to be a biological woman is irking me. Uggh, no.  This mentality erases:
- Trans women
- Trans men
- Women who don’t ovulate
- Women who don’t have uteruses
- Women who for other reasons cannot bring a child to term
- Asexual &amp; intersex ppl","{'text': 'All this tweeting about what it means to be a biological woman is irking me. Uggh, no.  This mentality erases:\n- Trans women\n- Trans men\n- Women who don’t ovulate\n- Women who don’t have uteruses\n- Women who for other reasons cannot bring a child to term\n- Asexual &amp; intersex ppl'}",,,1 (extremely positive),admin,,False,,3526,,Validated,2023-07-24 08:43:18.076281,{'text_length': 282}
26,How convenient is it that some people only start considering the possibility of a character being ace/bi as soon as canon evidence starts&gt;,{'text': 'How convenient is it that some people only start considering the possibility of a character being ace/bi as soon as canon evidence starts&gt;'},,,3 (neutral),admin,,False,,3527,,Validated,2023-07-24 08:43:18.076325,{'text_length': 141}
27,"#HornyOnMain

Midnight: How about just being fucked and knotted by an intersex werewolf and stuck for 8 hours for the best sleep?

...first thing I thought of is certain lass with a werewolf character and stuff from MFF.",{'text': '#HornyOnMain\n\nMidnight: How about just being fucked and knotted by an intersex werewolf and stuck for 8 hours for the best sleep?\n\n...first thing I thought of is certain lass with a werewolf character and stuff from MFF.'},,,3 (neutral),admin,,False,,3528,,Validated,2023-07-24 08:43:18.076368,{'text_length': 220}
28,I love being Slavic because I can easily see how pathetic and ghey some people are,{'text': 'I love being Slavic because I can easily see how pathetic and ghey some people are'},,,3 (neutral),admin,,False,,3529,,Validated,2023-07-24 08:43:18.076410,{'text_length': 82}
29,"would be really great if media stopped interchanging the words ""transgender"" and ""transvestite"" as if they meant the same thing I'm js","{'text': 'would be really great if media stopped interchanging the words ""transgender"" and ""transvestite"" as if they meant the same thing I\'m js'}",,,2 (positive),admin,,False,,3530,,Validated,2023-07-24 08:43:18.076452,{'text_length': 134}
30,Stupid What? Man/Woman/Gay/Lesbian/Transgender/Bisexual/Intersex/Non-Binary/Queer/Drag Queen/Alien?? Are we supposed to say Stupid Person? Is that  the correct term? Asking for a friend! #PMQ #StupidPeople,{'text': 'Stupid What? Man/Woman/Gay/Lesbian/Transgender/Bisexual/Intersex/Non-Binary/Queer/Drag Queen/Alien?? Are we supposed to say Stupid Person? Is that  the correct term? Asking for a friend! #PMQ #StupidPeople'},,,3 (neutral),admin,,False,,3531,,Validated,2023-07-24 08:43:18.076548,{'text_length': 205}
31,brighton will b the first place in the UK to have a trans MP if labour get Kemptown omgg honestly the land of progressive views and equality,{'text': 'brighton will b the first place in the UK to have a trans MP if labour get Kemptown omgg honestly the land of progressive views and equality'},,,2 (positive),admin,,False,,3532,,Validated,2023-07-24 08:43:18.076599,{'text_length': 140}
32,The headcanon comes out: does jumin Han is aromantic + asexual,{'text': 'The headcanon comes out: does jumin Han is aromantic + asexual'},,,3 (neutral),admin,,False,,3533,,Validated,2023-07-24 08:43:18.076643,{'text_length': 62}
