,text,inputs,prediction,prediction_agent,annotation,annotation_agent,vectors,multi_label,explanation,id,metadata,status,event_timestamp,metrics
0,I think I'm in lesbians with @Blink1Everett2,"{'text': ""I think I'm in lesbians with @Blink1Everett2""}",,,6 (can't say!),admin,,False,,3251,,Validated,2023-09-25 18:55:54.419532,{'text_length': 44}
1,"in the concept photos bts were wearing a feminine ,, dionysus is also the god of intersex and transgender people and he had a relationship with same sex ,, in conclusion bts gay","{'text': 'in the concept photos bts were wearing a feminine ,, dionysus is also the god of intersex and transgender people and he had a relationship with same sex ,, in conclusion bts gay'}",,,3 (neutral),admin,,False,,3252,,Validated,2023-09-25 18:55:54.419640,{'text_length': 177}
2,How much car insurance do shemales pay?,{'text': 'How much car insurance do shemales pay?'},,,4 (hateful/unsupportive),admin,,False,,3253,,Validated,2023-09-25 18:55:54.419720,{'text_length': 39}
3,Penetrated in the Ass by the Intersex Klingon,{'text': 'Penetrated in the Ass by the Intersex Klingon'},,,3 (neutral),admin,,False,,3254,,Validated,2023-09-25 18:55:54.419812,{'text_length': 45}
4,"Anyway the gross ass trans joke aside, the beach days were so fun and cute in p3....we got to meet aigis', akihiko is trans, fuuka and yukari are girlfriends......","{'text': ""Anyway the gross ass trans joke aside, the beach days were so fun and cute in p3....we got to meet aigis', akihiko is trans, fuuka and yukari are girlfriends......""}",,,2 (positive/supportive),admin,,False,,3255,,Validated,2023-09-25 18:55:54.419892,{'text_length': 163}
5,"Normally I'm all in for recycling, but not when it comes to killing off LGBT-characters. 

MAYBELLINE SUPPORTS EQUALITY
@TheCW @TheCW_PR","{'text': ""Normally I'm all in for recycling, but not when it comes to killing off LGBT-characters. \n\nMAYBELLINE SUPPORTS EQUALITY\n@TheCW @TheCW_PR""}",,,2 (positive/supportive),admin,,False,,3256,,Validated,2023-09-25 18:55:54.419958,{'text_length': 136}
6,"""@bury_bantz: Bury boys we are here woah woah brandon gould is fucking queer woah woah"" @lewiscostello_ look","{'text': '""@bury_bantz: Bury boys we are here woah woah brandon gould is fucking queer woah woah"" @lewiscostello_ look'}",,,2 (positive/supportive),admin,,False,,3257,,Validated,2023-09-25 18:55:54.420023,{'text_length': 108}
7,"I really hate being in this position of being the angry trans woman where the rest of the industry is just the way it is, get used to it.","{'text': 'I really hate being in this position of being the angry trans woman where the rest of the industry is just the way it is, get used to it.'}",,,3 (neutral),admin,,False,,3258,,Validated,2023-09-25 18:55:54.420086,{'text_length': 137}
8,okokok no more gay~ gotta do hwork,{'text': 'okokok no more gay~ gotta do hwork'},,,3 (neutral),admin,,False,,3259,,Validated,2023-09-25 18:55:54.420150,{'text_length': 34}
9,For my bachelor party we gon wake up in Vegas and august gon marry a tranny.,{'text': 'For my bachelor party we gon wake up in Vegas and august gon marry a tranny.'},,,6 (can't say!),admin,,False,,3260,,Validated,2023-09-25 18:55:54.420298,{'text_length': 76}
10,4:13 jane crocker is a butch lesbian,{'text': '4:13 jane crocker is a butch lesbian'},,,3 (neutral),admin,,False,,3261,,Validated,2023-09-25 18:55:54.420392,{'text_length': 36}
